close_task_id,company_code,company_name,fiscal_year,fiscal_period,task_id,task_name,task_sequence,target_working_day,period_end_date,due_date,actual_completion_date,delay_working_days,days_to_close,is_period_open
26,NS10,NovaSpace España S.A.,2023,3,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-03-31,2023-04-03,2023-04-04,1.0,,false
27,NS10,NovaSpace España S.A.,2023,3,T03,GR/IR clearing,3,2,2023-03-31,2023-04-04,2023-04-04,0.0,,false
28,NS10,NovaSpace España S.A.,2023,3,T04,Payroll posting,4,2,2023-03-31,2023-04-04,2023-04-06,2.0,,false
29,NS10,NovaSpace España S.A.,2023,3,T05,Depreciation run,5,2,2023-03-31,2023-04-04,2023-04-05,1.0,,false
30,NS10,NovaSpace España S.A.,2023,3,T06,Accruals posting,6,3,2023-03-31,2023-04-05,2023-04-05,0.0,,false
31,NS10,NovaSpace España S.A.,2023,3,T07,Overhead allocation cycle,7,3,2023-03-31,2023-04-05,2023-04-05,0.0,,false
32,NS10,NovaSpace España S.A.,2023,3,T08,Intercompany reconciliation,8,3,2023-03-31,2023-04-05,2023-04-05,0.0,,false
33,NS10,NovaSpace España S.A.,2023,3,T09,FX revaluation,9,4,2023-03-31,2023-04-06,2023-04-05,-1.0,,false
34,NS10,NovaSpace España S.A.,2023,3,T10,Soft close / reporting cut-off,10,4,2023-03-31,2023-04-06,2023-04-05,-1.0,,false
35,NS10,NovaSpace España S.A.,2023,3,T11,Management reporting pack,11,5,2023-03-31,2023-04-11,2023-04-11,0.0,,false
36,NS10,NovaSpace España S.A.,2023,3,T12,Hard close / period lock,12,5,2023-03-31,2023-04-11,2023-04-12,1.0,6.0,false
37,NS10,NovaSpace España S.A.,2023,4,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-04-30,2023-05-02,2023-05-04,2.0,,false
38,NS10,NovaSpace España S.A.,2023,4,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-04-30,2023-05-02,2023-05-02,0.0,,false
39,NS10,NovaSpace España S.A.,2023,4,T03,GR/IR clearing,3,2,2023-04-30,2023-05-03,2023-05-02,-1.0,,false
40,NS10,NovaSpace España S.A.,2023,4,T04,Payroll posting,4,2,2023-04-30,2023-05-03,2023-05-02,-1.0,,false
41,NS10,NovaSpace España S.A.,2023,4,T05,Depreciation run,5,2,2023-04-30,2023-05-03,2023-05-02,-1.0,,false
42,NS10,NovaSpace España S.A.,2023,4,T06,Accruals posting,6,3,2023-04-30,2023-05-04,2023-05-04,0.0,,false
43,NS10,NovaSpace España S.A.,2023,4,T07,Overhead allocation cycle,7,3,2023-04-30,2023-05-04,2023-05-04,0.0,,false
44,NS10,NovaSpace España S.A.,2023,4,T08,Intercompany reconciliation,8,3,2023-04-30,2023-05-04,2023-05-04,0.0,,false
45,NS10,NovaSpace España S.A.,2023,4,T09,FX revaluation,9,4,2023-04-30,2023-05-05,2023-05-05,0.0,,false
46,NS10,NovaSpace España S.A.,2023,4,T10,Soft close / reporting cut-off,10,4,2023-04-30,2023-05-05,2023-05-08,1.0,,false
47,NS10,NovaSpace España S.A.,2023,4,T11,Management reporting pack,11,5,2023-04-30,2023-05-08,2023-05-05,-1.0,,false
48,NS10,NovaSpace España S.A.,2023,4,T12,Hard close / period lock,12,5,2023-04-30,2023-05-08,2023-05-05,-1.0,4.0,false
49,NS10,NovaSpace España S.A.,2023,5,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-05-31,2023-06-01,2023-06-01,0.0,,false
50,NS10,NovaSpace España S.A.,2023,5,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-05-31,2023-06-01,2023-06-01,0.0,,false
51,NS10,NovaSpace España S.A.,2023,5,T03,GR/IR clearing,3,2,2023-05-31,2023-06-02,2023-06-02,0.0,,false
52,NS10,NovaSpace España S.A.,2023,5,T04,Payroll posting,4,2,2023-05-31,2023-06-02,2023-06-02,0.0,,false
53,NS10,NovaSpace España S.A.,2023,5,T05,Depreciation run,5,2,2023-05-31,2023-06-02,2023-06-02,0.0,,false
54,NS10,NovaSpace España S.A.,2023,5,T06,Accruals posting,6,3,2023-05-31,2023-06-05,2023-06-06,1.0,,false
55,NS10,NovaSpace España S.A.,2023,5,T07,Overhead allocation cycle,7,3,2023-05-31,2023-06-05,2023-06-05,0.0,,false
56,NS10,NovaSpace España S.A.,2023,5,T08,Intercompany reconciliation,8,3,2023-05-31,2023-06-05,2023-06-06,1.0,,false
57,NS10,NovaSpace España S.A.,2023,5,T09,FX revaluation,9,4,2023-05-31,2023-06-06,2023-06-06,0.0,,false
58,NS10,NovaSpace España S.A.,2023,5,T10,Soft close / reporting cut-off,10,4,2023-05-31,2023-06-06,2023-06-06,0.0,,false
59,NS10,NovaSpace España S.A.,2023,5,T11,Management reporting pack,11,5,2023-05-31,2023-06-07,2023-06-07,0.0,,false
60,NS10,NovaSpace España S.A.,2023,5,T12,Hard close / period lock,12,5,2023-05-31,2023-06-07,2023-06-09,2.0,7.0,false
61,NS10,NovaSpace España S.A.,2023,6,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-06-30,2023-07-03,2023-07-03,0.0,,false
62,NS10,NovaSpace España S.A.,2023,6,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-06-30,2023-07-03,2023-07-03,0.0,,false
63,NS10,NovaSpace España S.A.,2023,6,T03,GR/IR clearing,3,2,2023-06-30,2023-07-04,2023-07-04,0.0,,false
64,NS10,NovaSpace España S.A.,2023,6,T04,Payroll posting,4,2,2023-06-30,2023-07-04,2023-07-03,-1.0,,false
65,NS10,NovaSpace España S.A.,2023,6,T05,Depreciation run,5,2,2023-06-30,2023-07-04,2023-07-04,0.0,,false
66,NS10,NovaSpace España S.A.,2023,6,T06,Accruals posting,6,3,2023-06-30,2023-07-05,2023-07-05,0.0,,false
67,NS10,NovaSpace España S.A.,2023,6,T07,Overhead allocation cycle,7,3,2023-06-30,2023-07-05,2023-07-05,0.0,,false
68,NS10,NovaSpace España S.A.,2023,6,T08,Intercompany reconciliation,8,3,2023-06-30,2023-07-05,2023-07-05,0.0,,false
69,NS10,NovaSpace España S.A.,2023,6,T09,FX revaluation,9,4,2023-06-30,2023-07-06,2023-07-06,0.0,,false
70,NS10,NovaSpace España S.A.,2023,6,T10,Soft close / reporting cut-off,10,4,2023-06-30,2023-07-06,2023-07-06,0.0,,false
71,NS10,NovaSpace España S.A.,2023,6,T11,Management reporting pack,11,5,2023-06-30,2023-07-07,2023-07-10,1.0,,false
72,NS10,NovaSpace España S.A.,2023,6,T12,Hard close / period lock,12,5,2023-06-30,2023-07-07,2023-07-11,2.0,7.0,false
73,NS10,NovaSpace España S.A.,2023,7,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-07-31,2023-08-01,2023-08-02,1.0,,false
74,NS10,NovaSpace España S.A.,2023,7,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-07-31,2023-08-01,2023-08-01,0.0,,false
75,NS10,NovaSpace España S.A.,2023,7,T03,GR/IR clearing,3,2,2023-07-31,2023-08-02,2023-08-04,2.0,,false
76,NS10,NovaSpace España S.A.,2023,7,T04,Payroll posting,4,2,2023-07-31,2023-08-02,2023-08-01,-1.0,,false
77,NS10,NovaSpace España S.A.,2023,7,T05,Depreciation run,5,2,2023-07-31,2023-08-02,2023-08-02,0.0,,false
78,NS10,NovaSpace España S.A.,2023,7,T06,Accruals posting,6,3,2023-07-31,2023-08-03,2023-08-03,0.0,,false
79,NS10,NovaSpace España S.A.,2023,7,T07,Overhead allocation cycle,7,3,2023-07-31,2023-08-03,2023-08-02,-1.0,,false
80,NS10,NovaSpace España S.A.,2023,7,T08,Intercompany reconciliation,8,3,2023-07-31,2023-08-03,2023-08-02,-1.0,,false
81,NS10,NovaSpace España S.A.,2023,7,T09,FX revaluation,9,4,2023-07-31,2023-08-04,2023-08-07,1.0,,false
82,NS10,NovaSpace España S.A.,2023,7,T10,Soft close / reporting cut-off,10,4,2023-07-31,2023-08-04,2023-08-07,1.0,,false
83,NS10,NovaSpace España S.A.,2023,7,T11,Management reporting pack,11,5,2023-07-31,2023-08-07,2023-08-04,-1.0,,false
84,NS10,NovaSpace España S.A.,2023,7,T12,Hard close / period lock,12,5,2023-07-31,2023-08-07,2023-08-07,0.0,5.0,false
85,NS10,NovaSpace España S.A.,2023,8,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-08-31,2023-09-01,2023-09-01,0.0,,false
86,NS10,NovaSpace España S.A.,2023,8,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-08-31,2023-09-01,2023-09-01,0.0,,false
87,NS10,NovaSpace España S.A.,2023,8,T03,GR/IR clearing,3,2,2023-08-31,2023-09-04,2023-09-04,0.0,,false
88,NS10,NovaSpace España S.A.,2023,8,T04,Payroll posting,4,2,2023-08-31,2023-09-04,2023-09-05,1.0,,false
89,NS10,NovaSpace España S.A.,2023,8,T05,Depreciation run,5,2,2023-08-31,2023-09-04,2023-09-06,2.0,,false
90,NS10,NovaSpace España S.A.,2023,8,T06,Accruals posting,6,3,2023-08-31,2023-09-05,2023-09-05,0.0,,false
91,NS10,NovaSpace España S.A.,2023,8,T07,Overhead allocation cycle,7,3,2023-08-31,2023-09-05,2023-09-06,1.0,,false
92,NS10,NovaSpace España S.A.,2023,8,T08,Intercompany reconciliation,8,3,2023-08-31,2023-09-05,2023-09-06,1.0,,false
93,NS10,NovaSpace España S.A.,2023,8,T09,FX revaluation,9,4,2023-08-31,2023-09-06,2023-09-06,0.0,,false
94,NS10,NovaSpace España S.A.,2023,8,T10,Soft close / reporting cut-off,10,4,2023-08-31,2023-09-06,2023-09-07,1.0,,false
95,NS10,NovaSpace España S.A.,2023,8,T11,Management reporting pack,11,5,2023-08-31,2023-09-07,2023-09-08,1.0,,false
96,NS10,NovaSpace España S.A.,2023,8,T12,Hard close / period lock,12,5,2023-08-31,2023-09-07,2023-09-07,0.0,5.0,false
97,NS10,NovaSpace España S.A.,2023,9,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-09-30,2023-10-02,2023-10-03,1.0,,false
98,NS10,NovaSpace España S.A.,2023,9,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-09-30,2023-10-02,2023-10-02,0.0,,false
99,NS10,NovaSpace España S.A.,2023,9,T03,GR/IR clearing,3,2,2023-09-30,2023-10-03,2023-10-03,0.0,,false
100,NS10,NovaSpace España S.A.,2023,9,T04,Payroll posting,4,2,2023-09-30,2023-10-03,2023-10-03,0.0,,false
101,NS10,NovaSpace España S.A.,2023,9,T05,Depreciation run,5,2,2023-09-30,2023-10-03,2023-10-03,0.0,,false
102,NS10,NovaSpace España S.A.,2023,9,T06,Accruals posting,6,3,2023-09-30,2023-10-04,2023-10-04,0.0,,false
103,NS10,NovaSpace España S.A.,2023,9,T07,Overhead allocation cycle,7,3,2023-09-30,2023-10-04,2023-10-03,-1.0,,false
104,NS10,NovaSpace España S.A.,2023,9,T08,Intercompany reconciliation,8,3,2023-09-30,2023-10-04,2023-10-04,0.0,,false
105,NS10,NovaSpace España S.A.,2023,9,T09,FX revaluation,9,4,2023-09-30,2023-10-05,2023-10-06,1.0,,false
106,NS10,NovaSpace España S.A.,2023,9,T10,Soft close / reporting cut-off,10,4,2023-09-30,2023-10-05,2023-10-06,1.0,,false
107,NS10,NovaSpace España S.A.,2023,9,T11,Management reporting pack,11,5,2023-09-30,2023-10-06,2023-10-09,1.0,,false
108,NS10,NovaSpace España S.A.,2023,9,T12,Hard close / period lock,12,5,2023-09-30,2023-10-06,2023-10-06,0.0,5.0,false
109,NS10,NovaSpace España S.A.,2023,10,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-10-31,2023-11-01,2023-11-01,0.0,,false
110,NS10,NovaSpace España S.A.,2023,10,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-10-31,2023-11-01,2023-11-01,0.0,,false
111,NS10,NovaSpace España S.A.,2023,10,T03,GR/IR clearing,3,2,2023-10-31,2023-11-02,2023-11-06,2.0,,false
112,NS10,NovaSpace España S.A.,2023,10,T04,Payroll posting,4,2,2023-10-31,2023-11-02,2023-11-02,0.0,,false
113,NS10,NovaSpace España S.A.,2023,10,T05,Depreciation run,5,2,2023-10-31,2023-11-02,2023-11-02,0.0,,false
114,NS10,NovaSpace España S.A.,2023,10,T06,Accruals posting,6,3,2023-10-31,2023-11-03,2023-11-03,0.0,,false
115,NS10,NovaSpace España S.A.,2023,10,T07,Overhead allocation cycle,7,3,2023-10-31,2023-11-03,2023-11-03,0.0,,false
116,NS10,NovaSpace España S.A.,2023,10,T08,Intercompany reconciliation,8,3,2023-10-31,2023-11-03,2023-11-03,0.0,,false
117,NS10,NovaSpace España S.A.,2023,10,T09,FX revaluation,9,4,2023-10-31,2023-11-06,2023-11-07,1.0,,false
118,NS10,NovaSpace España S.A.,2023,10,T10,Soft close / reporting cut-off,10,4,2023-10-31,2023-11-06,2023-11-06,0.0,,false
119,NS10,NovaSpace España S.A.,2023,10,T11,Management reporting pack,11,5,2023-10-31,2023-11-07,2023-11-08,1.0,,false
120,NS10,NovaSpace España S.A.,2023,10,T12,Hard close / period lock,12,5,2023-10-31,2023-11-07,2023-11-07,0.0,5.0,false
121,NS10,NovaSpace España S.A.,2023,11,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-11-30,2023-12-01,2023-12-01,0.0,,false
122,NS10,NovaSpace España S.A.,2023,11,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-11-30,2023-12-01,2023-12-01,0.0,,false
123,NS10,NovaSpace España S.A.,2023,11,T03,GR/IR clearing,3,2,2023-11-30,2023-12-04,2023-12-04,0.0,,false
124,NS10,NovaSpace España S.A.,2023,11,T04,Payroll posting,4,2,2023-11-30,2023-12-04,2023-12-04,0.0,,false
125,NS10,NovaSpace España S.A.,2023,11,T05,Depreciation run,5,2,2023-11-30,2023-12-04,2023-12-04,0.0,,false
126,NS10,NovaSpace España S.A.,2023,11,T06,Accruals posting,6,3,2023-11-30,2023-12-05,2023-12-04,-1.0,,false
127,NS10,NovaSpace España S.A.,2023,11,T07,Overhead allocation cycle,7,3,2023-11-30,2023-12-05,2023-12-04,-1.0,,false
128,NS10,NovaSpace España S.A.,2023,11,T08,Intercompany reconciliation,8,3,2023-11-30,2023-12-05,2023-12-06,1.0,,false
129,NS10,NovaSpace España S.A.,2023,11,T09,FX revaluation,9,4,2023-11-30,2023-12-06,2023-12-07,1.0,,false
130,NS10,NovaSpace España S.A.,2023,11,T10,Soft close / reporting cut-off,10,4,2023-11-30,2023-12-06,2023-12-06,0.0,,false
131,NS10,NovaSpace España S.A.,2023,11,T11,Management reporting pack,11,5,2023-11-30,2023-12-07,2023-12-06,-1.0,,false
132,NS10,NovaSpace España S.A.,2023,11,T12,Hard close / period lock,12,5,2023-11-30,2023-12-07,2023-12-07,0.0,5.0,false
133,NS10,NovaSpace España S.A.,2023,12,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-12-31,2024-01-02,2024-01-02,0.0,,false
134,NS10,NovaSpace España S.A.,2023,12,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-12-31,2024-01-02,2024-01-02,0.0,,false
135,NS10,NovaSpace España S.A.,2023,12,T03,GR/IR clearing,3,2,2023-12-31,2024-01-03,2024-01-03,0.0,,false
136,NS10,NovaSpace España S.A.,2023,12,T04,Payroll posting,4,2,2023-12-31,2024-01-03,2024-01-02,-1.0,,false
137,NS10,NovaSpace España S.A.,2023,12,T05,Depreciation run,5,2,2023-12-31,2024-01-03,2024-01-04,1.0,,false
138,NS10,NovaSpace España S.A.,2023,12,T06,Accruals posting,6,3,2023-12-31,2024-01-04,2024-01-05,1.0,,false
139,NS10,NovaSpace España S.A.,2023,12,T07,Overhead allocation cycle,7,3,2023-12-31,2024-01-04,2024-01-05,1.0,,false
140,NS10,NovaSpace España S.A.,2023,12,T08,Intercompany reconciliation,8,3,2023-12-31,2024-01-04,2024-01-04,0.0,,false
141,NS10,NovaSpace España S.A.,2023,12,T09,FX revaluation,9,4,2023-12-31,2024-01-05,2024-01-08,1.0,,false
142,NS10,NovaSpace España S.A.,2023,12,T10,Soft close / reporting cut-off,10,4,2023-12-31,2024-01-05,2024-01-05,0.0,,false
143,NS10,NovaSpace España S.A.,2023,12,T11,Management reporting pack,11,5,2023-12-31,2024-01-08,2024-01-09,1.0,,false
144,NS10,NovaSpace España S.A.,2023,12,T12,Hard close / period lock,12,5,2023-12-31,2024-01-08,2024-01-05,-1.0,4.0,false
145,NS10,NovaSpace España S.A.,2024,1,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-01-31,2024-02-01,2024-02-01,0.0,,false
146,NS10,NovaSpace España S.A.,2024,1,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-01-31,2024-02-01,2024-02-01,0.0,,false
147,NS10,NovaSpace España S.A.,2024,1,T03,GR/IR clearing,3,2,2024-01-31,2024-02-02,2024-02-02,0.0,,false
148,NS10,NovaSpace España S.A.,2024,1,T04,Payroll posting,4,2,2024-01-31,2024-02-02,2024-02-05,1.0,,false
149,NS10,NovaSpace España S.A.,2024,1,T05,Depreciation run,5,2,2024-01-31,2024-02-02,2024-02-02,0.0,,false
150,NS10,NovaSpace España S.A.,2024,1,T06,Accruals posting,6,3,2024-01-31,2024-02-05,2024-02-05,0.0,,false
151,NS10,NovaSpace España S.A.,2024,1,T07,Overhead allocation cycle,7,3,2024-01-31,2024-02-05,2024-02-05,0.0,,false
152,NS10,NovaSpace España S.A.,2024,1,T08,Intercompany reconciliation,8,3,2024-01-31,2024-02-05,2024-02-05,0.0,,false
153,NS10,NovaSpace España S.A.,2024,1,T09,FX revaluation,9,4,2024-01-31,2024-02-06,2024-02-06,0.0,,false
154,NS10,NovaSpace España S.A.,2024,1,T10,Soft close / reporting cut-off,10,4,2024-01-31,2024-02-06,2024-02-06,0.0,,false
155,NS10,NovaSpace España S.A.,2024,1,T11,Management reporting pack,11,5,2024-01-31,2024-02-07,2024-02-07,0.0,,false
156,NS10,NovaSpace España S.A.,2024,1,T12,Hard close / period lock,12,5,2024-01-31,2024-02-07,2024-02-08,1.0,6.0,false
157,NS10,NovaSpace España S.A.,2024,2,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-02-29,2024-03-01,2024-03-01,0.0,,false
158,NS10,NovaSpace España S.A.,2024,2,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-02-29,2024-03-01,2024-03-05,2.0,,false
159,NS10,NovaSpace España S.A.,2024,2,T03,GR/IR clearing,3,2,2024-02-29,2024-03-04,2024-03-04,0.0,,false
160,NS10,NovaSpace España S.A.,2024,2,T04,Payroll posting,4,2,2024-02-29,2024-03-04,2024-03-05,1.0,,false
161,NS10,NovaSpace España S.A.,2024,2,T05,Depreciation run,5,2,2024-02-29,2024-03-04,2024-03-04,0.0,,false
162,NS10,NovaSpace España S.A.,2024,2,T06,Accruals posting,6,3,2024-02-29,2024-03-05,2024-03-05,0.0,,false
163,NS10,NovaSpace España S.A.,2024,2,T07,Overhead allocation cycle,7,3,2024-02-29,2024-03-05,2024-03-05,0.0,,false
164,NS10,NovaSpace España S.A.,2024,2,T08,Intercompany reconciliation,8,3,2024-02-29,2024-03-05,2024-03-06,1.0,,false
165,NS10,NovaSpace España S.A.,2024,2,T09,FX revaluation,9,4,2024-02-29,2024-03-06,2024-03-06,0.0,,false
166,NS10,NovaSpace España S.A.,2024,2,T10,Soft close / reporting cut-off,10,4,2024-02-29,2024-03-06,2024-03-06,0.0,,false
167,NS10,NovaSpace España S.A.,2024,2,T11,Management reporting pack,11,5,2024-02-29,2024-03-07,2024-03-06,-1.0,,false
168,NS10,NovaSpace España S.A.,2024,2,T12,Hard close / period lock,12,5,2024-02-29,2024-03-07,2024-03-07,0.0,5.0,false
169,NS10,NovaSpace España S.A.,2024,3,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-03-31,2024-04-02,2024-04-02,0.0,,false
170,NS10,NovaSpace España S.A.,2024,3,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-03-31,2024-04-02,2024-04-03,1.0,,false
171,NS10,NovaSpace España S.A.,2024,3,T03,GR/IR clearing,3,2,2024-03-31,2024-04-03,2024-04-03,0.0,,false
172,NS10,NovaSpace España S.A.,2024,3,T04,Payroll posting,4,2,2024-03-31,2024-04-03,2024-04-03,0.0,,false
173,NS10,NovaSpace España S.A.,2024,3,T05,Depreciation run,5,2,2024-03-31,2024-04-03,2024-04-04,1.0,,false
174,NS10,NovaSpace España S.A.,2024,3,T06,Accruals posting,6,3,2024-03-31,2024-04-04,2024-04-04,0.0,,false
175,NS10,NovaSpace España S.A.,2024,3,T07,Overhead allocation cycle,7,3,2024-03-31,2024-04-04,2024-04-03,-1.0,,false
176,NS10,NovaSpace España S.A.,2024,3,T08,Intercompany reconciliation,8,3,2024-03-31,2024-04-04,2024-04-04,0.0,,false
177,NS10,NovaSpace España S.A.,2024,3,T09,FX revaluation,9,4,2024-03-31,2024-04-05,2024-04-09,2.0,,false
178,NS10,NovaSpace España S.A.,2024,3,T10,Soft close / reporting cut-off,10,4,2024-03-31,2024-04-05,2024-04-05,0.0,,false
179,NS10,NovaSpace España S.A.,2024,3,T11,Management reporting pack,11,5,2024-03-31,2024-04-08,2024-04-09,1.0,,false
180,NS10,NovaSpace España S.A.,2024,3,T12,Hard close / period lock,12,5,2024-03-31,2024-04-08,2024-04-08,0.0,5.0,false
181,NS10,NovaSpace España S.A.,2024,4,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-04-30,2024-05-02,2024-05-02,0.0,,false
182,NS10,NovaSpace España S.A.,2024,4,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-04-30,2024-05-02,2024-05-03,1.0,,false
183,NS10,NovaSpace España S.A.,2024,4,T03,GR/IR clearing,3,2,2024-04-30,2024-05-03,2024-05-03,0.0,,false
184,NS10,NovaSpace España S.A.,2024,4,T04,Payroll posting,4,2,2024-04-30,2024-05-03,2024-05-02,-1.0,,false
185,NS10,NovaSpace España S.A.,2024,4,T05,Depreciation run,5,2,2024-04-30,2024-05-03,2024-05-03,0.0,,false
186,NS10,NovaSpace España S.A.,2024,4,T06,Accruals posting,6,3,2024-04-30,2024-05-06,2024-05-06,0.0,,false
187,NS10,NovaSpace España S.A.,2024,4,T07,Overhead allocation cycle,7,3,2024-04-30,2024-05-06,2024-05-06,0.0,,false
188,NS10,NovaSpace España S.A.,2024,4,T08,Intercompany reconciliation,8,3,2024-04-30,2024-05-06,2024-05-06,0.0,,false
189,NS10,NovaSpace España S.A.,2024,4,T09,FX revaluation,9,4,2024-04-30,2024-05-07,2024-05-06,-1.0,,false
190,NS10,NovaSpace España S.A.,2024,4,T10,Soft close / reporting cut-off,10,4,2024-04-30,2024-05-07,2024-05-07,0.0,,false
191,NS10,NovaSpace España S.A.,2024,4,T11,Management reporting pack,11,5,2024-04-30,2024-05-08,2024-05-08,0.0,,false
192,NS10,NovaSpace España S.A.,2024,4,T12,Hard close / period lock,12,5,2024-04-30,2024-05-08,2024-05-07,-1.0,4.0,false
193,NS10,NovaSpace España S.A.,2024,5,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-05-31,2024-06-03,2024-06-04,1.0,,false
194,NS10,NovaSpace España S.A.,2024,5,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-05-31,2024-06-03,2024-06-03,0.0,,false
195,NS10,NovaSpace España S.A.,2024,5,T03,GR/IR clearing,3,2,2024-05-31,2024-06-04,2024-06-04,0.0,,false
196,NS10,NovaSpace España S.A.,2024,5,T04,Payroll posting,4,2,2024-05-31,2024-06-04,2024-06-05,1.0,,false
197,NS10,NovaSpace España S.A.,2024,5,T05,Depreciation run,5,2,2024-05-31,2024-06-04,2024-06-05,1.0,,false
198,NS10,NovaSpace España S.A.,2024,5,T06,Accruals posting,6,3,2024-05-31,2024-06-05,2024-06-06,1.0,,false
199,NS10,NovaSpace España S.A.,2024,5,T07,Overhead allocation cycle,7,3,2024-05-31,2024-06-05,2024-06-05,0.0,,false
