close_task_id,company_code,fiscal_year,fiscal_period,task_id,period_end_date,due_date,actual_completion_date,completed_by_user_id,delay_working_days
24,NS10,2023,2,T12,2023-02-28,2023-03-07,2023-03-08,USR-86C753,1.0
25,NS10,2023,3,T01,2023-03-31,2023-04-03,2023-04-05,USR-B286B6,2.0
26,NS10,2023,3,T02,2023-03-31,2023-04-03,2023-04-04,USR-C814CE,1.0
27,NS10,2023,3,T03,2023-03-31,2023-04-04,2023-04-04,USR-705A56,0.0
28,NS10,2023,3,T04,2023-03-31,2023-04-04,2023-04-06,USR-160088,2.0
29,NS10,2023,3,T05,2023-03-31,2023-04-04,2023-04-05,USR-5EEC9E,1.0
30,NS10,2023,3,T06,2023-03-31,2023-04-05,2023-04-05,USR-C2DA0D,0.0
31,NS10,2023,3,T07,2023-03-31,2023-04-05,2023-04-05,USR-20CC0E,0.0
32,NS10,2023,3,T08,2023-03-31,2023-04-05,2023-04-05,USR-C93B82,0.0
33,NS10,2023,3,T09,2023-03-31,2023-04-06,2023-04-05,USR-C2DA0D,-1.0
34,NS10,2023,3,T10,2023-03-31,2023-04-06,2023-04-05,USR-8BA13E,-1.0
35,NS10,2023,3,T11,2023-03-31,2023-04-11,2023-04-11,USR-705A56,0.0
36,NS10,2023,3,T12,2023-03-31,2023-04-11,2023-04-12,USR-D2A081,1.0
37,NS10,2023,4,T01,2023-04-30,2023-05-02,2023-05-04,USR-C93B82,2.0
38,NS10,2023,4,T02,2023-04-30,2023-05-02,2023-05-02,USR-718397,0.0
39,NS10,2023,4,T03,2023-04-30,2023-05-03,2023-05-02,USR-C2DA0D,-1.0
40,NS10,2023,4,T04,2023-04-30,2023-05-03,2023-05-02,USR-BC5A44,-1.0
41,NS10,2023,4,T05,2023-04-30,2023-05-03,2023-05-02,USR-2EBB92,-1.0
42,NS10,2023,4,T06,2023-04-30,2023-05-04,2023-05-04,USR-ED4078,0.0
43,NS10,2023,4,T07,2023-04-30,2023-05-04,2023-05-04,USR-734C7E,0.0
44,NS10,2023,4,T08,2023-04-30,2023-05-04,2023-05-04,USR-C814CE,0.0
45,NS10,2023,4,T09,2023-04-30,2023-05-05,2023-05-05,USR-C93B82,0.0
46,NS10,2023,4,T10,2023-04-30,2023-05-05,2023-05-08,USR-C2DA0D,1.0
47,NS10,2023,4,T11,2023-04-30,2023-05-08,2023-05-05,USR-734C7E,-1.0
48,NS10,2023,4,T12,2023-04-30,2023-05-08,2023-05-05,USR-DBCD12,-1.0
49,NS10,2023,5,T01,2023-05-31,2023-06-01,2023-06-01,USR-160088,0.0
50,NS10,2023,5,T02,2023-05-31,2023-06-01,2023-06-01,USR-C814CE,0.0
51,NS10,2023,5,T03,2023-05-31,2023-06-02,2023-06-02,USR-8362D1,0.0
52,NS10,2023,5,T04,2023-05-31,2023-06-02,2023-06-02,USR-DBCD12,0.0
53,NS10,2023,5,T05,2023-05-31,2023-06-02,2023-06-02,USR-C2DA0D,0.0
54,NS10,2023,5,T06,2023-05-31,2023-06-05,2023-06-06,USR-DBCD12,1.0
55,NS10,2023,5,T07,2023-05-31,2023-06-05,2023-06-05,USR-D6F9BD,0.0
56,NS10,2023,5,T08,2023-05-31,2023-06-05,2023-06-06,USR-D6F9BD,1.0
57,NS10,2023,5,T09,2023-05-31,2023-06-06,2023-06-06,USR-D6F9BD,0.0
58,NS10,2023,5,T10,2023-05-31,2023-06-06,2023-06-06,USR-86C753,0.0
59,NS10,2023,5,T11,2023-05-31,2023-06-07,2023-06-07,USR-2EBB92,0.0
60,NS10,2023,5,T12,2023-05-31,2023-06-07,2023-06-09,USR-6704A0,2.0
61,NS10,2023,6,T01,2023-06-30,2023-07-03,2023-07-03,USR-C621FB,0.0
62,NS10,2023,6,T02,2023-06-30,2023-07-03,2023-07-03,USR-734C7E,0.0
63,NS10,2023,6,T03,2023-06-30,2023-07-04,2023-07-04,USR-8362D1,0.0
64,NS10,2023,6,T04,2023-06-30,2023-07-04,2023-07-03,USR-2EBB92,-1.0
65,NS10,2023,6,T05,2023-06-30,2023-07-04,2023-07-04,USR-C2DA0D,0.0
66,NS10,2023,6,T06,2023-06-30,2023-07-05,2023-07-05,USR-C93B82,0.0
67,NS10,2023,6,T07,2023-06-30,2023-07-05,2023-07-05,USR-6704A0,0.0
68,NS10,2023,6,T08,2023-06-30,2023-07-05,2023-07-05,USR-A791FF,0.0
69,NS10,2023,6,T09,2023-06-30,2023-07-06,2023-07-06,USR-A791FF,0.0
70,NS10,2023,6,T10,2023-06-30,2023-07-06,2023-07-06,USR-16D926,0.0
71,NS10,2023,6,T11,2023-06-30,2023-07-07,2023-07-10,USR-DBCD12,1.0
72,NS10,2023,6,T12,2023-06-30,2023-07-07,2023-07-11,USR-339381,2.0
73,NS10,2023,7,T01,2023-07-31,2023-08-01,2023-08-02,USR-F9C262,1.0
74,NS10,2023,7,T02,2023-07-31,2023-08-01,2023-08-01,USR-2EBB92,0.0
75,NS10,2023,7,T03,2023-07-31,2023-08-02,2023-08-04,USR-5EEC9E,2.0
76,NS10,2023,7,T04,2023-07-31,2023-08-02,2023-08-01,USR-B7AC97,-1.0
77,NS10,2023,7,T05,2023-07-31,2023-08-02,2023-08-02,USR-181C01,0.0
78,NS10,2023,7,T06,2023-07-31,2023-08-03,2023-08-03,USR-86C753,0.0
79,NS10,2023,7,T07,2023-07-31,2023-08-03,2023-08-02,USR-A4D458,-1.0
80,NS10,2023,7,T08,2023-07-31,2023-08-03,2023-08-02,USR-ED4078,-1.0
81,NS10,2023,7,T09,2023-07-31,2023-08-04,2023-08-07,USR-D6F9BD,1.0
82,NS10,2023,7,T10,2023-07-31,2023-08-04,2023-08-07,USR-A4D458,1.0
83,NS10,2023,7,T11,2023-07-31,2023-08-07,2023-08-04,USR-801710,-1.0
84,NS10,2023,7,T12,2023-07-31,2023-08-07,2023-08-07,USR-734C7E,0.0
85,NS10,2023,8,T01,2023-08-31,2023-09-01,2023-09-01,USR-A4D458,0.0
86,NS10,2023,8,T02,2023-08-31,2023-09-01,2023-09-01,USR-D6F9BD,0.0
87,NS10,2023,8,T03,2023-08-31,2023-09-04,2023-09-04,USR-C93B82,0.0
88,NS10,2023,8,T04,2023-08-31,2023-09-04,2023-09-05,USR-734C7E,1.0
89,NS10,2023,8,T05,2023-08-31,2023-09-04,2023-09-06,USR-2EBB92,2.0
90,NS10,2023,8,T06,2023-08-31,2023-09-05,2023-09-05,USR-339381,0.0
91,NS10,2023,8,T07,2023-08-31,2023-09-05,2023-09-06,USR-705A56,1.0
92,NS10,2023,8,T08,2023-08-31,2023-09-05,2023-09-06,USR-8362D1,1.0
93,NS10,2023,8,T09,2023-08-31,2023-09-06,2023-09-06,USR-A791FF,0.0
94,NS10,2023,8,T10,2023-08-31,2023-09-06,2023-09-07,USR-B7AC97,1.0
95,NS10,2023,8,T11,2023-08-31,2023-09-07,2023-09-08,USR-B286B6,1.0
96,NS10,2023,8,T12,2023-08-31,2023-09-07,2023-09-07,USR-A791FF,0.0
97,NS10,2023,9,T01,2023-09-30,2023-10-02,2023-10-03,USR-8BA13E,1.0
98,NS10,2023,9,T02,2023-09-30,2023-10-02,2023-10-02,USR-D6F9BD,0.0
99,NS10,2023,9,T03,2023-09-30,2023-10-03,2023-10-03,USR-16D926,0.0
100,NS10,2023,9,T04,2023-09-30,2023-10-03,2023-10-03,USR-339381,0.0
101,NS10,2023,9,T05,2023-09-30,2023-10-03,2023-10-03,USR-339381,0.0
102,NS10,2023,9,T06,2023-09-30,2023-10-04,2023-10-04,USR-6EDA16,0.0
103,NS10,2023,9,T07,2023-09-30,2023-10-04,2023-10-03,USR-B7AC97,-1.0
104,NS10,2023,9,T08,2023-09-30,2023-10-04,2023-10-04,USR-86C753,0.0
105,NS10,2023,9,T09,2023-09-30,2023-10-05,2023-10-06,USR-ED4078,1.0
106,NS10,2023,9,T10,2023-09-30,2023-10-05,2023-10-06,USR-339381,1.0
107,NS10,2023,9,T11,2023-09-30,2023-10-06,2023-10-09,USR-B7AC97,1.0
108,NS10,2023,9,T12,2023-09-30,2023-10-06,2023-10-06,USR-734C7E,0.0
109,NS10,2023,10,T01,2023-10-31,2023-11-01,2023-11-01,USR-2EBB92,0.0
110,NS10,2023,10,T02,2023-10-31,2023-11-01,2023-11-01,USR-339381,0.0
111,NS10,2023,10,T03,2023-10-31,2023-11-02,2023-11-06,USR-734C7E,2.0
112,NS10,2023,10,T04,2023-10-31,2023-11-02,2023-11-02,USR-F9C262,0.0
113,NS10,2023,10,T05,2023-10-31,2023-11-02,2023-11-02,USR-2EBB92,0.0
114,NS10,2023,10,T06,2023-10-31,2023-11-03,2023-11-03,USR-339381,0.0
115,NS10,2023,10,T07,2023-10-31,2023-11-03,2023-11-03,USR-8362D1,0.0
116,NS10,2023,10,T08,2023-10-31,2023-11-03,2023-11-03,USR-DBCD12,0.0
117,NS10,2023,10,T09,2023-10-31,2023-11-06,2023-11-07,USR-86C753,1.0
118,NS10,2023,10,T10,2023-10-31,2023-11-06,2023-11-06,USR-2EBB92,0.0
119,NS10,2023,10,T11,2023-10-31,2023-11-07,2023-11-08,USR-B286B6,1.0
120,NS10,2023,10,T12,2023-10-31,2023-11-07,2023-11-07,USR-D6F9BD,0.0
121,NS10,2023,11,T01,2023-11-30,2023-12-01,2023-12-01,USR-160088,0.0
122,NS10,2023,11,T02,2023-11-30,2023-12-01,2023-12-01,USR-C2DA0D,0.0
123,NS10,2023,11,T03,2023-11-30,2023-12-04,2023-12-04,USR-2EBB92,0.0
124,NS10,2023,11,T04,2023-11-30,2023-12-04,2023-12-04,USR-86C753,0.0
125,NS10,2023,11,T05,2023-11-30,2023-12-04,2023-12-04,USR-D6F9BD,0.0
126,NS10,2023,11,T06,2023-11-30,2023-12-05,2023-12-04,USR-6704A0,-1.0
127,NS10,2023,11,T07,2023-11-30,2023-12-05,2023-12-04,USR-D6F9BD,-1.0
128,NS10,2023,11,T08,2023-11-30,2023-12-05,2023-12-06,USR-160088,1.0
129,NS10,2023,11,T09,2023-11-30,2023-12-06,2023-12-07,USR-A791FF,1.0
130,NS10,2023,11,T10,2023-11-30,2023-12-06,2023-12-06,USR-5EEC9E,0.0
131,NS10,2023,11,T11,2023-11-30,2023-12-07,2023-12-06,USR-801710,-1.0
132,NS10,2023,11,T12,2023-11-30,2023-12-07,2023-12-07,USR-A4D458,0.0
133,NS10,2023,12,T01,2023-12-31,2024-01-02,2024-01-02,USR-8BA13E,0.0
134,NS10,2023,12,T02,2023-12-31,2024-01-02,2024-01-02,USR-86C753,0.0
135,NS10,2023,12,T03,2023-12-31,2024-01-03,2024-01-03,USR-2EBB92,0.0
136,NS10,2023,12,T04,2023-12-31,2024-01-03,2024-01-02,USR-B7AC97,-1.0
137,NS10,2023,12,T05,2023-12-31,2024-01-03,2024-01-04,USR-C621FB,1.0
138,NS10,2023,12,T06,2023-12-31,2024-01-04,2024-01-05,USR-6EDA16,1.0
139,NS10,2023,12,T07,2023-12-31,2024-01-04,2024-01-05,USR-2EBB92,1.0
140,NS10,2023,12,T08,2023-12-31,2024-01-04,2024-01-04,USR-801710,0.0
141,NS10,2023,12,T09,2023-12-31,2024-01-05,2024-01-08,USR-6EDA16,1.0
142,NS10,2023,12,T10,2023-12-31,2024-01-05,2024-01-05,USR-718397,0.0
143,NS10,2023,12,T11,2023-12-31,2024-01-08,2024-01-09,USR-DBCD12,1.0
144,NS10,2023,12,T12,2023-12-31,2024-01-08,2024-01-05,USR-DBCD12,-1.0
145,NS10,2024,1,T01,2024-01-31,2024-02-01,2024-02-01,USR-B286B6,0.0
146,NS10,2024,1,T02,2024-01-31,2024-02-01,2024-02-01,USR-C93B82,0.0
147,NS10,2024,1,T03,2024-01-31,2024-02-02,2024-02-02,USR-86C753,0.0
148,NS10,2024,1,T04,2024-01-31,2024-02-02,2024-02-05,USR-734C7E,1.0
149,NS10,2024,1,T05,2024-01-31,2024-02-02,2024-02-02,USR-718397,0.0
150,NS10,2024,1,T06,2024-01-31,2024-02-05,2024-02-05,USR-718397,0.0
151,NS10,2024,1,T07,2024-01-31,2024-02-05,2024-02-05,USR-BC5A44,0.0
152,NS10,2024,1,T08,2024-01-31,2024-02-05,2024-02-05,USR-D2A081,0.0
153,NS10,2024,1,T09,2024-01-31,2024-02-06,2024-02-06,USR-C93B82,0.0
154,NS10,2024,1,T10,2024-01-31,2024-02-06,2024-02-06,USR-C93B82,0.0
155,NS10,2024,1,T11,2024-01-31,2024-02-07,2024-02-07,USR-DBCD12,0.0
156,NS10,2024,1,T12,2024-01-31,2024-02-07,2024-02-08,USR-B286B6,1.0
157,NS10,2024,2,T01,2024-02-29,2024-03-01,2024-03-01,USR-C2DA0D,0.0
158,NS10,2024,2,T02,2024-02-29,2024-03-01,2024-03-05,USR-86C753,2.0
159,NS10,2024,2,T03,2024-02-29,2024-03-04,2024-03-04,USR-B286B6,0.0
160,NS10,2024,2,T04,2024-02-29,2024-03-04,2024-03-05,USR-2EBB92,1.0
161,NS10,2024,2,T05,2024-02-29,2024-03-04,2024-03-04,USR-6704A0,0.0
162,NS10,2024,2,T06,2024-02-29,2024-03-05,2024-03-05,USR-DBCD12,0.0
163,NS10,2024,2,T07,2024-02-29,2024-03-05,2024-03-05,USR-6EDA16,0.0
164,NS10,2024,2,T08,2024-02-29,2024-03-05,2024-03-06,USR-6704A0,1.0
165,NS10,2024,2,T09,2024-02-29,2024-03-06,2024-03-06,USR-F9C262,0.0
166,NS10,2024,2,T10,2024-02-29,2024-03-06,2024-03-06,USR-B286B6,0.0
167,NS10,2024,2,T11,2024-02-29,2024-03-07,2024-03-06,USR-86C753,-1.0
168,NS10,2024,2,T12,2024-02-29,2024-03-07,2024-03-07,USR-734C7E,0.0
169,NS10,2024,3,T01,2024-03-31,2024-04-02,2024-04-02,USR-718397,0.0
170,NS10,2024,3,T02,2024-03-31,2024-04-02,2024-04-03,USR-D2A081,1.0
171,NS10,2024,3,T03,2024-03-31,2024-04-03,2024-04-03,USR-86C753,0.0
172,NS10,2024,3,T04,2024-03-31,2024-04-03,2024-04-03,USR-8362D1,0.0
173,NS10,2024,3,T05,2024-03-31,2024-04-03,2024-04-04,USR-C2DA0D,1.0
174,NS10,2024,3,T06,2024-03-31,2024-04-04,2024-04-04,USR-ED4078,0.0
175,NS10,2024,3,T07,2024-03-31,2024-04-04,2024-04-03,USR-5EEC9E,-1.0
176,NS10,2024,3,T08,2024-03-31,2024-04-04,2024-04-04,USR-20CC0E,0.0
177,NS10,2024,3,T09,2024-03-31,2024-04-05,2024-04-09,USR-A4D458,2.0
178,NS10,2024,3,T10,2024-03-31,2024-04-05,2024-04-05,USR-339381,0.0
179,NS10,2024,3,T11,2024-03-31,2024-04-08,2024-04-09,USR-DBCD12,1.0
180,NS10,2024,3,T12,2024-03-31,2024-04-08,2024-04-08,USR-339381,0.0
181,NS10,2024,4,T01,2024-04-30,2024-05-02,2024-05-02,USR-181C01,0.0
182,NS10,2024,4,T02,2024-04-30,2024-05-02,2024-05-03,USR-8362D1,1.0
183,NS10,2024,4,T03,2024-04-30,2024-05-03,2024-05-03,USR-86C753,0.0
184,NS10,2024,4,T04,2024-04-30,2024-05-03,2024-05-02,USR-20CC0E,-1.0
185,NS10,2024,4,T05,2024-04-30,2024-05-03,2024-05-03,USR-D6F9BD,0.0
186,NS10,2024,4,T06,2024-04-30,2024-05-06,2024-05-06,USR-BC5A44,0.0
187,NS10,2024,4,T07,2024-04-30,2024-05-06,2024-05-06,USR-6704A0,0.0
188,NS10,2024,4,T08,2024-04-30,2024-05-06,2024-05-06,USR-F9C262,0.0
189,NS10,2024,4,T09,2024-04-30,2024-05-07,2024-05-06,USR-705A56,-1.0
190,NS10,2024,4,T10,2024-04-30,2024-05-07,2024-05-07,USR-705A56,0.0
191,NS10,2024,4,T11,2024-04-30,2024-05-08,2024-05-08,USR-5EEC9E,0.0
192,NS10,2024,4,T12,2024-04-30,2024-05-08,2024-05-07,USR-181C01,-1.0
193,NS10,2024,5,T01,2024-05-31,2024-06-03,2024-06-04,USR-8362D1,1.0
194,NS10,2024,5,T02,2024-05-31,2024-06-03,2024-06-03,USR-339381,0.0
195,NS10,2024,5,T03,2024-05-31,2024-06-04,2024-06-04,USR-160088,0.0
196,NS10,2024,5,T04,2024-05-31,2024-06-04,2024-06-05,USR-734C7E,1.0
197,NS10,2024,5,T05,2024-05-31,2024-06-04,2024-06-05,USR-718397,1.0
198,NS10,2024,5,T06,2024-05-31,2024-06-05,2024-06-06,USR-A4D458,1.0
199,NS10,2024,5,T07,2024-05-31,2024-06-05,2024-06-05,USR-16D926,0.0
200,NS10,2024,5,T08,2024-05-31,2024-06-05,2024-06-07,USR-16D926,2.0
