from_currency,to_currency,fiscal_year,fiscal_period,rate_type,exchange_rate
GBP,EUR,2023,10,M,1.157061
GBP,EUR,2023,10,B,1.168
GBP,EUR,2023,11,M,1.165211
GBP,EUR,2023,11,B,1.168
GBP,EUR,2023,12,M,1.181799
GBP,EUR,2023,12,B,1.168
GBP,EUR,2024,1,M,1.182756
GBP,EUR,2024,1,B,1.181799
GBP,EUR,2024,2,M,1.17795
GBP,EUR,2024,2,B,1.181799
GBP,EUR,2024,3,M,1.178168
GBP,EUR,2024,3,B,1.181799
GBP,EUR,2024,4,M,1.183331
GBP,EUR,2024,4,B,1.181799
GBP,EUR,2024,5,M,1.187815
GBP,EUR,2024,5,B,1.181799
GBP,EUR,2024,6,M,1.178836
GBP,EUR,2024,6,B,1.181799
GBP,EUR,2024,7,M,1.182389
GBP,EUR,2024,7,B,1.181799
GBP,EUR,2024,8,M,1.187419
GBP,EUR,2024,8,B,1.181799
GBP,EUR,2024,9,M,1.216935
GBP,EUR,2024,9,B,1.181799
GBP,EUR,2024,10,M,1.240169
GBP,EUR,2024,10,B,1.181799
GBP,EUR,2024,11,M,1.233373
GBP,EUR,2024,11,B,1.181799
GBP,EUR,2024,12,M,1.232897
GBP,EUR,2024,12,B,1.181799
GBP,EUR,2025,1,M,1.219371
GBP,EUR,2025,1,B,1.232897
GBP,EUR,2025,2,M,1.215571
GBP,EUR,2025,2,B,1.232897
GBP,EUR,2025,3,M,1.221698
GBP,EUR,2025,3,B,1.232897
GBP,EUR,2025,4,M,1.237644
GBP,EUR,2025,4,B,1.232897
GBP,EUR,2025,5,M,1.232246
GBP,EUR,2025,5,B,1.232897
GBP,EUR,2025,6,M,1.227702
GBP,EUR,2025,6,B,1.232897
GBP,EUR,2025,7,M,1.206677
GBP,EUR,2025,7,B,1.232897
GBP,EUR,2025,8,M,1.207565
GBP,EUR,2025,8,B,1.232897
GBP,EUR,2025,9,M,1.198675
GBP,EUR,2025,9,B,1.232897
GBP,EUR,2025,10,M,1.195601
GBP,EUR,2025,10,B,1.232897
GBP,EUR,2025,11,M,1.188796
GBP,EUR,2025,11,B,1.232897
GBP,EUR,2025,12,M,1.190403
GBP,EUR,2025,12,B,1.232897
GBP,EUR,2026,1,M,1.17419
GBP,EUR,2026,1,B,1.190403
GBP,EUR,2026,2,M,1.16127
GBP,EUR,2026,2,B,1.190403
GBP,EUR,2026,3,M,1.186078
GBP,EUR,2026,3,B,1.190403
GBP,EUR,2026,4,M,1.174945
GBP,EUR,2026,4,B,1.190403
GBP,EUR,2026,5,M,1.165932
GBP,EUR,2026,5,B,1.190403
GBP,EUR,2026,6,M,1.187772
GBP,EUR,2026,6,B,1.190403
GBP,EUR,2026,7,M,1.22144
GBP,EUR,2026,7,B,1.190403
GBP,EUR,2026,8,M,1.211248
GBP,EUR,2026,8,B,1.190403
GBP,EUR,2026,9,M,1.209899
GBP,EUR,2026,9,B,1.190403
GBP,EUR,2026,10,M,1.21628
GBP,EUR,2026,10,B,1.190403
GBP,EUR,2026,11,M,1.237879
GBP,EUR,2026,11,B,1.190403
GBP,EUR,2026,12,M,1.229608
GBP,EUR,2026,12,B,1.190403
USD,EUR,2023,1,M,0.917686
USD,EUR,2023,1,B,0.921
USD,EUR,2023,2,M,0.924707
USD,EUR,2023,2,B,0.921
USD,EUR,2023,3,M,0.928297
USD,EUR,2023,3,B,0.921
USD,EUR,2023,4,M,0.923621
USD,EUR,2023,4,B,0.921
