forecast_id,company_code,cost_center,programme_id,fiscal_year,fiscal_period,version,snapshot_date,horizon_periods,amount_group_currency
104,NS10,CC-10-1005,PRG-AURORA,2023,8,FC-Q1,2023-04-11,5,48923.62
105,NS10,CC-10-1005,PRG-AURORA,2023,9,FC-Q1,2023-04-11,6,117900.81
106,NS10,CC-10-1005,PRG-AURORA,2023,10,FC-Q1,2023-04-11,7,55537.68
107,NS10,CC-10-1005,PRG-AURORA,2023,11,FC-Q1,2023-04-11,8,49268.5
108,NS10,CC-10-1005,PRG-AURORA,2023,12,FC-Q1,2023-04-11,9,32170.11
109,NS10,CC-10-1005,PRG-KESTREL,2023,4,FC-Q1,2023-04-11,1,73783.2
110,NS10,CC-10-1005,PRG-KESTREL,2023,5,FC-Q1,2023-04-11,2,57646.05
111,NS10,CC-10-1005,PRG-KESTREL,2023,6,FC-Q1,2023-04-11,3,61846.99
112,NS10,CC-10-1005,PRG-KESTREL,2023,7,FC-Q1,2023-04-11,4,26553.11
113,NS10,CC-10-1005,PRG-KESTREL,2023,8,FC-Q1,2023-04-11,5,87099.94
114,NS10,CC-10-1005,PRG-KESTREL,2023,9,FC-Q1,2023-04-11,6,96352.79
115,NS10,CC-10-1005,PRG-KESTREL,2023,10,FC-Q1,2023-04-11,7,40335.71
116,NS10,CC-10-1005,PRG-KESTREL,2023,11,FC-Q1,2023-04-11,8,104066.67
117,NS10,CC-10-1005,PRG-KESTREL,2023,12,FC-Q1,2023-04-11,9,97867.04
118,NS10,CC-10-1005,,2023,4,FC-Q1,2023-04-11,1,120698.46
119,NS10,CC-10-1005,,2023,5,FC-Q1,2023-04-11,2,186173.8
120,NS10,CC-10-1005,,2023,6,FC-Q1,2023-04-11,3,171313.5
121,NS10,CC-10-1005,,2023,7,FC-Q1,2023-04-11,4,249330.34
122,NS10,CC-10-1005,,2023,8,FC-Q1,2023-04-11,5,227008.13
123,NS10,CC-10-1005,,2023,9,FC-Q1,2023-04-11,6,162191.85
124,NS10,CC-10-1005,,2023,10,FC-Q1,2023-04-11,7,222754.18
125,NS10,CC-10-1005,,2023,11,FC-Q1,2023-04-11,8,108465.91
126,NS10,CC-10-1005,,2023,12,FC-Q1,2023-04-11,9,233336.57
127,NS10,CC-10-1006,PRG-HELIOS,2023,4,FC-Q1,2023-04-11,1,97379.21
128,NS10,CC-10-1006,PRG-HELIOS,2023,5,FC-Q1,2023-04-11,2,141472.8
129,NS10,CC-10-1006,PRG-HELIOS,2023,6,FC-Q1,2023-04-11,3,176470.37
130,NS10,CC-10-1006,PRG-HELIOS,2023,7,FC-Q1,2023-04-11,4,148615.34
131,NS10,CC-10-1006,PRG-HELIOS,2023,8,FC-Q1,2023-04-11,5,113722.97
132,NS10,CC-10-1006,PRG-HELIOS,2023,9,FC-Q1,2023-04-11,6,304110.0
133,NS10,CC-10-1006,PRG-HELIOS,2023,10,FC-Q1,2023-04-11,7,152738.63
134,NS10,CC-10-1006,PRG-HELIOS,2023,11,FC-Q1,2023-04-11,8,210869.26
135,NS10,CC-10-1006,PRG-HELIOS,2023,12,FC-Q1,2023-04-11,9,271452.53
136,NS10,CC-10-1006,,2023,4,FC-Q1,2023-04-11,1,124733.96
137,NS10,CC-10-1006,,2023,5,FC-Q1,2023-04-11,2,184880.56
138,NS10,CC-10-1006,,2023,6,FC-Q1,2023-04-11,3,147396.79
139,NS10,CC-10-1006,,2023,7,FC-Q1,2023-04-11,4,232404.62
140,NS10,CC-10-1006,,2023,8,FC-Q1,2023-04-11,5,169895.17
141,NS10,CC-10-1006,,2023,9,FC-Q1,2023-04-11,6,121208.74
142,NS10,CC-10-1006,,2023,10,FC-Q1,2023-04-11,7,222021.2
143,NS10,CC-10-1006,,2023,11,FC-Q1,2023-04-11,8,125550.71
144,NS10,CC-10-1006,,2023,12,FC-Q1,2023-04-11,9,198370.55
145,NS10,CC-10-1007,PRG-HELIOS,2023,4,FC-Q1,2023-04-11,1,73237.65
146,NS10,CC-10-1007,PRG-HELIOS,2023,5,FC-Q1,2023-04-11,2,44397.5
147,NS10,CC-10-1007,PRG-HELIOS,2023,6,FC-Q1,2023-04-11,3,62116.26
148,NS10,CC-10-1007,PRG-HELIOS,2023,7,FC-Q1,2023-04-11,4,28328.48
149,NS10,CC-10-1007,PRG-HELIOS,2023,8,FC-Q1,2023-04-11,5,91348.04
150,NS10,CC-10-1007,PRG-HELIOS,2023,9,FC-Q1,2023-04-11,6,84390.76
151,NS10,CC-10-1007,PRG-HELIOS,2023,10,FC-Q1,2023-04-11,7,59304.04
152,NS10,CC-10-1007,PRG-HELIOS,2023,11,FC-Q1,2023-04-11,8,75578.1
153,NS10,CC-10-1007,PRG-HELIOS,2023,12,FC-Q1,2023-04-11,9,78529.4
154,NS10,CC-10-1007,PRG-MERIDIAN,2023,4,FC-Q1,2023-04-11,1,73991.52
155,NS10,CC-10-1007,PRG-MERIDIAN,2023,5,FC-Q1,2023-04-11,2,83046.73
156,NS10,CC-10-1007,PRG-MERIDIAN,2023,6,FC-Q1,2023-04-11,3,86840.45
157,NS10,CC-10-1007,PRG-MERIDIAN,2023,7,FC-Q1,2023-04-11,4,72749.48
158,NS10,CC-10-1007,PRG-MERIDIAN,2023,8,FC-Q1,2023-04-11,5,83722.21
159,NS10,CC-10-1007,PRG-MERIDIAN,2023,9,FC-Q1,2023-04-11,6,63458.95
160,NS10,CC-10-1007,PRG-MERIDIAN,2023,10,FC-Q1,2023-04-11,7,61027.18
161,NS10,CC-10-1007,PRG-MERIDIAN,2023,11,FC-Q1,2023-04-11,8,28663.07
162,NS10,CC-10-1007,PRG-MERIDIAN,2023,12,FC-Q1,2023-04-11,9,117492.94
163,NS10,CC-10-1007,,2023,4,FC-Q1,2023-04-11,1,219260.31
164,NS10,CC-10-1007,,2023,5,FC-Q1,2023-04-11,2,217063.98
165,NS10,CC-10-1007,,2023,6,FC-Q1,2023-04-11,3,200639.78
166,NS10,CC-10-1007,,2023,7,FC-Q1,2023-04-11,4,160067.74
167,NS10,CC-10-1007,,2023,8,FC-Q1,2023-04-11,5,161826.58
168,NS10,CC-10-1007,,2023,9,FC-Q1,2023-04-11,6,201680.61
169,NS10,CC-10-1007,,2023,10,FC-Q1,2023-04-11,7,195092.02
170,NS10,CC-10-1007,,2023,11,FC-Q1,2023-04-11,8,76655.93
171,NS10,CC-10-1007,,2023,12,FC-Q1,2023-04-11,9,127268.85
172,NS10,CC-10-1008,PRG-AURORA,2023,4,FC-Q1,2023-04-11,1,46250.16
173,NS10,CC-10-1008,PRG-AURORA,2023,5,FC-Q1,2023-04-11,2,99647.58
174,NS10,CC-10-1008,PRG-AURORA,2023,6,FC-Q1,2023-04-11,3,77065.88
175,NS10,CC-10-1008,PRG-AURORA,2023,7,FC-Q1,2023-04-11,4,49452.23
176,NS10,CC-10-1008,PRG-AURORA,2023,8,FC-Q1,2023-04-11,5,50854.86
177,NS10,CC-10-1008,PRG-AURORA,2023,9,FC-Q1,2023-04-11,6,120306.44
178,NS10,CC-10-1008,PRG-AURORA,2023,10,FC-Q1,2023-04-11,7,111575.9
179,NS10,CC-10-1008,PRG-AURORA,2023,11,FC-Q1,2023-04-11,8,52958.77
180,NS10,CC-10-1008,PRG-AURORA,2023,12,FC-Q1,2023-04-11,9,63108.2
181,NS10,CC-10-1008,PRG-HELIOS,2023,4,FC-Q1,2023-04-11,1,52458.78
182,NS10,CC-10-1008,PRG-HELIOS,2023,5,FC-Q1,2023-04-11,2,116035.87
183,NS10,CC-10-1008,PRG-HELIOS,2023,6,FC-Q1,2023-04-11,3,80916.52
184,NS10,CC-10-1008,PRG-HELIOS,2023,7,FC-Q1,2023-04-11,4,83474.6
185,NS10,CC-10-1008,PRG-HELIOS,2023,8,FC-Q1,2023-04-11,5,48138.16
186,NS10,CC-10-1008,PRG-HELIOS,2023,9,FC-Q1,2023-04-11,6,72081.83
187,NS10,CC-10-1008,PRG-HELIOS,2023,10,FC-Q1,2023-04-11,7,56599.48
188,NS10,CC-10-1008,PRG-HELIOS,2023,11,FC-Q1,2023-04-11,8,86614.71
189,NS10,CC-10-1008,PRG-HELIOS,2023,12,FC-Q1,2023-04-11,9,73013.24
190,NS10,CC-10-1008,PRG-MERIDIAN,2023,4,FC-Q1,2023-04-11,1,74805.37
191,NS10,CC-10-1008,PRG-MERIDIAN,2023,5,FC-Q1,2023-04-11,2,96009.25
192,NS10,CC-10-1008,PRG-MERIDIAN,2023,6,FC-Q1,2023-04-11,3,93352.39
193,NS10,CC-10-1008,PRG-MERIDIAN,2023,7,FC-Q1,2023-04-11,4,97531.13
194,NS10,CC-10-1008,PRG-MERIDIAN,2023,8,FC-Q1,2023-04-11,5,48606.5
195,NS10,CC-10-1008,PRG-MERIDIAN,2023,9,FC-Q1,2023-04-11,6,76708.51
196,NS10,CC-10-1008,PRG-MERIDIAN,2023,10,FC-Q1,2023-04-11,7,52270.61
197,NS10,CC-10-1008,PRG-MERIDIAN,2023,11,FC-Q1,2023-04-11,8,76588.58
198,NS10,CC-10-1008,PRG-MERIDIAN,2023,12,FC-Q1,2023-04-11,9,93398.62
199,NS10,CC-10-1008,,2023,4,FC-Q1,2023-04-11,1,162444.8
200,NS10,CC-10-1008,,2023,5,FC-Q1,2023-04-11,2,231411.82
