journal_id,company_code,document_number,document_line,document_type,posting_date,document_date,entry_date,fiscal_year,fiscal_period,gl_account,cost_center,programme_id,debit_credit_ind,amount_doc_currency,doc_currency,amount_local_currency,local_currency,amount_group_currency,group_currency,is_intercompany,ic_partner_company,posting_user_id,is_reversal,reversed_document
28,NS10,1000000016,1,RE,2023-01-12,2023-01-09,2023-01-12,2023,1,610040,CC-10-1027,,S,3617.32,EUR,3617.32,EUR,3617.32,EUR,false,,USR-181C01,false,
29,NS10,1000000017,1,WA,2023-01-05,2023-01-05,2023-01-05,2023,1,500210,CC-10-1029,PRG-KESTREL,S,1732.4,EUR,1732.4,EUR,1732.4,EUR,false,,USR-705A56,false,
30,NS10,1000000018,1,KR,2023-01-19,2023-01-14,2023-01-20,2023,1,650000,CC-10-1050,PRG-HELIOS,S,575.13,EUR,575.13,EUR,575.13,EUR,false,,USR-C814CE,false,
31,NS10,1000000019,1,IC,2023-01-26,2023-01-26,2023-02-03,2023,1,610130,CC-10-1043,,S,8914.67,GBP,10356.23,EUR,10356.23,EUR,true,NS40,USR-734C7E,false,
32,NS10,1000000019,2,IC,2023-01-26,2023-01-26,2023-02-03,2023,1,610130,CC-10-1013,,S,4490.8,GBP,5216.99,EUR,5216.99,EUR,true,NS40,USR-734C7E,false,
33,NS10,1000000019,3,IC,2023-01-26,2023-01-26,2023-02-03,2023,1,610090,CC-10-1030,,S,1136.7,GBP,1320.51,EUR,1320.51,EUR,true,NS40,USR-734C7E,false,
34,NS10,1000000020,1,RV,2023-01-04,2023-01-01,2023-01-04,2023,1,400110,,,H,13093.84,EUR,13093.84,EUR,13093.84,EUR,false,,USR-D2A081,false,
35,NS10,1000000021,1,WA,2023-01-23,2023-01-23,2023-01-23,2023,1,500070,CC-10-1049,,S,4792.48,USD,4397.99,EUR,4397.99,EUR,false,,USR-16D926,false,
36,NS10,1000000022,1,KR,2023-01-25,2023-01-25,2023-01-25,2023,1,500180,CC-10-1049,,S,1536.99,EUR,1536.99,EUR,1536.99,EUR,false,,USR-D6F9BD,false,
37,NS10,1000000023,1,KR,2023-01-26,2023-01-25,2023-01-30,2023,1,500160,CC-10-1037,PRG-HELIOS,S,2265.86,EUR,2265.86,EUR,2265.86,EUR,false,,USR-8362D1,false,
38,NS10,1000000023,2,KR,2023-01-26,2023-01-25,2023-01-30,2023,1,500180,CC-10-1006,,S,8386.71,EUR,8386.71,EUR,8386.71,EUR,false,,USR-8362D1,false,
39,NS10,1000000023,3,KR,2023-01-26,2023-01-25,2023-01-30,2023,1,500070,CC-10-1050,,S,3618.82,EUR,3618.82,EUR,3618.82,EUR,false,,USR-8362D1,false,
40,NS10,1000000024,1,KR,2023-01-04,2023-01-02,2023-01-04,2023,1,650100,CC-10-1002,,S,179.11,EUR,179.11,EUR,179.11,EUR,false,,USR-D6F9BD,false,
41,NS10,1000000025,1,IC,2023-01-16,2023-01-16,2023-02-01,2023,1,610140,CC-10-1028,PRG-PHAROS,S,16551.02,EUR,16551.02,EUR,16551.02,EUR,true,NS20,USR-718397,false,
42,NS10,1000000025,2,IC,2023-01-16,2023-01-16,2023-02-01,2023,1,610130,CC-10-1023,PRG-KESTREL,S,6265.14,EUR,6265.14,EUR,6265.14,EUR,true,NS20,USR-718397,false,
43,NS10,1000000026,1,RV,2023-01-18,2023-01-18,2023-01-18,2023,1,400140,,,H,39108.98,EUR,39108.98,EUR,39108.98,EUR,false,,USR-F9C262,false,
44,NS10,1000000026,2,RV,2023-01-18,2023-01-18,2023-01-18,2023,1,400140,,,H,37365.99,EUR,37365.99,EUR,37365.99,EUR,false,,USR-F9C262,false,
45,NS10,1000000027,1,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680100,CC-10-1037,PRG-HELIOS,S,2737.91,EUR,2737.91,EUR,2737.91,EUR,false,,USR-6EDA16,false,
46,NS10,1000000027,2,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680140,CC-10-1012,PRG-HELIOS,S,1840.35,EUR,1840.35,EUR,1840.35,EUR,false,,USR-6EDA16,false,
47,NS10,1000000028,1,RE,2023-01-23,2023-01-19,2023-01-23,2023,1,500040,CC-10-1038,,S,916.17,EUR,916.17,EUR,916.17,EUR,false,,USR-16D926,false,
48,NS10,1000000029,1,RE,2023-01-23,2023-01-21,2023-01-23,2023,1,500030,CC-10-1038,,S,2961.69,EUR,2961.69,EUR,2961.69,EUR,false,,USR-B7AC97,false,
49,NS10,1000000030,1,RE,2023-01-25,2023-01-25,2023-01-25,2023,1,610010,CC-10-1002,,S,2164.75,USD,1986.56,EUR,1986.56,EUR,false,,USR-DBCD12,false,
50,NS10,1000000031,1,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680000,CC-10-1032,,S,3929.41,EUR,3929.41,EUR,3929.41,EUR,false,,USR-6EDA16,false,
51,NS10,1000000032,1,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650060,CC-10-1042,,S,523.06,EUR,523.06,EUR,523.06,EUR,false,,USR-6EDA16,false,
52,NS10,1000000032,2,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650200,CC-10-1047,PRG-HELIOS,S,630.13,EUR,630.13,EUR,630.13,EUR,false,,USR-6EDA16,false,
53,NS10,1000000033,1,KR,2023-01-11,2023-01-09,2023-01-11,2023,1,610160,CC-10-1012,PRG-HELIOS,S,3372.81,EUR,3372.81,EUR,3372.81,EUR,false,,USR-339381,false,
54,NS10,1000000034,1,SA,2023-01-24,2023-01-24,2023-02-03,2023,1,500050,CC-10-1018,,S,2991.96,EUR,2991.96,EUR,2991.96,EUR,false,,USR-705A56,false,
55,NS10,1000000035,1,KR,2023-01-20,2023-01-16,2023-01-20,2023,1,650010,CC-10-1014,,S,930.29,USD,853.71,EUR,853.71,EUR,false,,USR-B7AC97,false,
56,NS10,1000000036,1,SA,2023-01-10,2023-01-10,2023-02-02,2023,1,600270,CC-10-1044,,S,1031.54,EUR,1031.54,EUR,1031.54,EUR,false,,USR-734C7E,false,
57,NS10,1000000036,2,SA,2023-01-10,2023-01-10,2023-02-02,2023,1,690000,CC-10-1046,,S,686.6,EUR,686.6,EUR,686.6,EUR,false,,USR-734C7E,false,
58,NS10,1000000037,1,KR,2023-01-17,2023-01-12,2023-01-18,2023,1,500130,CC-10-1040,,S,2508.01,EUR,2508.01,EUR,2508.01,EUR,false,,USR-339381,false,
59,NS10,1000000038,1,RE,2023-01-26,2023-01-21,2023-01-27,2023,1,500150,CC-10-1037,,S,2255.01,EUR,2255.01,EUR,2255.01,EUR,false,,USR-6EDA16,false,
60,NS10,1000000038,2,RE,2023-01-26,2023-01-21,2023-01-27,2023,1,610130,CC-10-1019,,S,3187.11,EUR,3187.11,EUR,3187.11,EUR,false,,USR-6EDA16,false,
61,NS10,1000000039,1,IC,2023-01-24,2023-01-24,2023-02-02,2023,1,610040,CC-10-1008,PRG-HELIOS,S,31771.12,EUR,31771.12,EUR,31771.12,EUR,true,NS20,USR-20CC0E,false,
62,NS10,1000000040,1,KR,2023-01-16,2023-01-11,2023-01-16,2023,1,610040,CC-10-1029,PRG-KESTREL,S,13597.15,EUR,13597.15,EUR,13597.15,EUR,false,,USR-A791FF,false,
63,NS10,1000000040,2,KR,2023-01-16,2023-01-11,2023-01-16,2023,1,650230,CC-10-1040,,S,1006.25,EUR,1006.25,EUR,1006.25,EUR,false,,USR-A791FF,false,
64,NS10,1000000040,3,KR,2023-01-16,2023-01-11,2023-01-16,2023,1,650230,CC-10-1015,,S,1277.76,EUR,1277.76,EUR,1277.76,EUR,false,,USR-A791FF,false,
65,NS10,1000000040,4,KR,2023-01-16,2023-01-11,2023-01-16,2023,1,500180,CC-10-1013,PRG-KESTREL,S,2916.57,EUR,2916.57,EUR,2916.57,EUR,false,,USR-A791FF,false,
66,NS10,1000000041,1,RE,2023-01-02,2022-12-30,2023-01-02,2023,1,500240,CC-10-1009,,S,1912.48,EUR,1912.48,EUR,1912.48,EUR,false,,USR-2EBB92,false,
67,NS10,1000000041,2,RE,2023-01-02,2022-12-30,2023-01-02,2023,1,500200,CC-10-1042,,S,430.62,EUR,430.62,EUR,430.62,EUR,false,,USR-2EBB92,false,
68,NS10,1000000042,1,WA,2023-01-30,2023-01-30,2023-01-30,2023,1,500080,CC-10-1017,,S,1086.68,EUR,1086.68,EUR,1086.68,EUR,false,,USR-F9C262,false,
69,NS10,1000000043,1,KR,2023-01-05,2022-12-31,2023-01-05,2023,1,610190,CC-10-1046,,S,28404.16,EUR,28404.16,EUR,28404.16,EUR,false,,USR-BC5A44,false,
70,NS10,1000000044,1,ML,2023-01-31,2023-01-31,2023-02-02,2023,1,600290,CC-10-1034,,S,2359.77,EUR,2359.77,EUR,2359.77,EUR,false,,USR-B286B6,false,
71,NS10,1000000045,1,IC,2023-01-23,2023-01-23,2023-02-01,2023,1,650060,CC-10-1009,PRG-HELIOS,S,733.89,EUR,733.89,EUR,733.89,EUR,true,NS20,USR-339381,false,
72,NS10,1000000046,1,IC,2023-01-09,2023-01-09,2023-02-02,2023,1,610050,CC-10-1004,,S,1715.34,EUR,1715.34,EUR,1715.34,EUR,true,NS40,USR-6EDA16,false,
73,NS10,1000000047,1,RE,2023-01-25,2023-01-20,2023-01-25,2023,1,500110,CC-10-1021,,S,3625.79,EUR,3625.79,EUR,3625.79,EUR,false,,USR-8362D1,false,
74,NS10,1000000047,2,RE,2023-01-25,2023-01-20,2023-01-25,2023,1,500230,CC-10-1005,,S,2003.19,EUR,2003.19,EUR,2003.19,EUR,false,,USR-8362D1,false,
75,NS10,1000000047,3,RE,2023-01-25,2023-01-20,2023-01-25,2023,1,610000,CC-10-1048,,S,9452.08,EUR,9452.08,EUR,9452.08,EUR,false,,USR-8362D1,false,
76,NS10,1000000048,1,WA,2023-01-06,2023-01-06,2023-01-06,2023,1,500170,CC-10-1046,,S,1165.0,EUR,1165.0,EUR,1165.0,EUR,false,,USR-6EDA16,false,
77,NS10,1000000048,2,WA,2023-01-06,2023-01-06,2023-01-06,2023,1,500100,CC-10-1033,,S,1745.43,EUR,1745.43,EUR,1745.43,EUR,false,,USR-6EDA16,false,
78,NS10,1000000049,1,KR,2023-01-18,2023-01-15,2023-01-20,2023,1,610000,CC-10-1015,,S,10876.46,EUR,10876.46,EUR,10876.46,EUR,false,,USR-801710,false,
79,NS10,1000000050,1,KR,2023-01-24,2023-01-22,2023-01-24,2023,1,610040,CC-10-1044,PRG-HELIOS,S,23774.8,EUR,23774.8,EUR,23774.8,EUR,false,,USR-B286B6,false,
80,NS10,1000000050,2,KR,2023-01-24,2023-01-22,2023-01-24,2023,1,610120,CC-10-1033,PRG-TERRA,S,3417.59,EUR,3417.59,EUR,3417.59,EUR,false,,USR-B286B6,false,
81,NS10,1000000051,1,KR,2023-01-02,2022-12-28,2023-01-02,2023,1,610090,CC-10-1018,PRG-HELIOS,S,2646.02,EUR,2646.02,EUR,2646.02,EUR,false,,USR-8362D1,false,
82,NS10,1000000052,1,SA,2023-01-13,2023-01-13,2023-02-02,2023,1,600060,CC-10-1044,PRG-HELIOS,S,2218.37,EUR,2218.37,EUR,2218.37,EUR,false,,USR-8362D1,false,
83,NS10,1000000052,2,SA,2023-01-13,2023-01-13,2023-02-02,2023,1,650170,CC-10-1050,,S,305.22,EUR,305.22,EUR,305.22,EUR,false,,USR-8362D1,false,
84,NS10,1000000052,3,SA,2023-01-13,2023-01-13,2023-02-02,2023,1,600110,CC-10-1029,,S,820.26,EUR,820.26,EUR,820.26,EUR,false,,USR-8362D1,false,
85,NS10,1000000052,4,SA,2023-01-13,2023-01-13,2023-02-02,2023,1,690040,CC-10-1035,,S,602.3,EUR,602.3,EUR,602.3,EUR,false,,USR-8362D1,false,
86,NS10,1000000053,1,SA,2023-01-31,2023-01-31,2023-02-03,2023,1,650200,CC-10-1045,PRG-HELIOS,S,2271.93,EUR,2271.93,EUR,2271.93,EUR,false,,USR-734C7E,false,
87,NS10,1000000054,1,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650250,CC-10-1007,PRG-HELIOS,S,390.61,EUR,390.61,EUR,390.61,EUR,false,,USR-2EBB92,false,
88,NS10,1000000054,2,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650210,CC-10-1015,,S,520.67,EUR,520.67,EUR,520.67,EUR,false,,USR-2EBB92,false,
89,NS10,1000000055,1,WA,2023-01-02,2023-01-02,2023-01-02,2023,1,500200,CC-10-1042,,S,2811.49,USD,2580.07,EUR,2580.07,EUR,false,,USR-8362D1,false,
90,NS10,1000000055,2,WA,2023-01-02,2023-01-02,2023-01-02,2023,1,500030,CC-10-1025,,S,1923.42,USD,1765.1,EUR,1765.1,EUR,false,,USR-8362D1,false,
91,NS10,1000000056,1,WA,2023-01-11,2023-01-11,2023-01-11,2023,1,500160,CC-10-1038,,S,761.11,EUR,761.11,EUR,761.11,EUR,false,,USR-A4D458,false,
92,NS10,1000000057,1,WA,2023-01-09,2023-01-09,2023-01-09,2023,1,500230,CC-10-1039,,S,4042.01,EUR,4042.01,EUR,4042.01,EUR,false,,USR-B286B6,false,
93,NS10,1000000058,1,WA,2023-01-30,2023-01-30,2023-01-30,2023,1,500130,CC-10-1016,,S,2709.0,EUR,2709.0,EUR,2709.0,EUR,false,,USR-2EBB92,false,
94,NS10,1000000059,1,RE,2023-01-25,2023-01-23,2023-01-25,2023,1,610140,CC-10-1017,PRG-HELIOS,S,7373.67,EUR,7373.67,EUR,7373.67,EUR,false,,USR-86C753,false,
95,NS10,1000000059,2,RE,2023-01-25,2023-01-23,2023-01-25,2023,1,610040,CC-10-1025,,S,5035.38,EUR,5035.38,EUR,5035.38,EUR,false,,USR-86C753,false,
96,NS10,1000000059,3,RE,2023-01-25,2023-01-23,2023-01-25,2023,1,500150,CC-10-1002,,S,6417.53,EUR,6417.53,EUR,6417.53,EUR,false,,USR-86C753,false,
97,NS10,1000000060,1,KR,2023-01-19,2023-01-19,2023-01-20,2023,1,650280,CC-10-1045,,S,480.22,EUR,480.22,EUR,480.22,EUR,false,,USR-D6F9BD,false,
98,NS10,1000000061,1,KR,2023-01-27,2023-01-27,2023-01-30,2023,1,500010,CC-10-1006,,S,1191.71,EUR,1191.71,EUR,1191.71,EUR,false,,USR-B7AC97,false,
99,NS10,1000000061,2,KR,2023-01-27,2023-01-27,2023-01-30,2023,1,500150,CC-10-1047,,S,7077.2,EUR,7077.2,EUR,7077.2,EUR,false,,USR-B7AC97,false,
100,NS10,1000000062,1,SA,2023-01-24,2023-01-24,2023-02-08,2023,1,690000,CC-10-1039,,S,107.29,EUR,107.29,EUR,107.29,EUR,false,,USR-D2A081,false,
101,NS10,1000000062,2,SA,2023-01-24,2023-01-24,2023-02-08,2023,1,600160,CC-10-1018,PRG-TERRA,S,1306.38,EUR,1306.38,EUR,1306.38,EUR,false,,USR-D2A081,false,
102,NS10,1000000063,1,WA,2023-01-13,2023-01-13,2023-01-13,2023,1,500070,CC-10-1004,PRG-TERRA,S,2285.05,EUR,2285.05,EUR,2285.05,EUR,false,,USR-339381,false,
103,NS10,1000000063,2,WA,2023-01-13,2023-01-13,2023-01-13,2023,1,500240,CC-10-1040,,S,2227.79,EUR,2227.79,EUR,2227.79,EUR,false,,USR-339381,false,
104,NS10,1000000063,3,WA,2023-01-13,2023-01-13,2023-01-13,2023,1,500070,CC-10-1023,,S,875.62,EUR,875.62,EUR,875.62,EUR,false,,USR-339381,false,
105,NS10,1000000064,1,SA,2023-01-24,2023-01-24,2023-02-08,2023,1,500070,CC-10-1010,,S,1110.92,EUR,1110.92,EUR,1110.92,EUR,false,,USR-C93B82,false,
106,NS10,1000000065,1,KR,2023-01-18,2023-01-15,2023-01-19,2023,1,610040,CC-10-1022,,S,11487.5,EUR,11487.5,EUR,11487.5,EUR,false,,USR-6EDA16,false,
107,NS10,1000000066,1,WA,2023-01-20,2023-01-20,2023-01-20,2023,1,500090,CC-10-1046,PRG-HELIOS,S,5905.83,EUR,5905.83,EUR,5905.83,EUR,false,,USR-734C7E,false,
108,NS10,1000000066,2,WA,2023-01-20,2023-01-20,2023-01-20,2023,1,500170,CC-10-1035,,S,1829.82,EUR,1829.82,EUR,1829.82,EUR,false,,USR-734C7E,false,
109,NS10,1000000067,1,KR,2023-01-30,2023-01-30,2023-02-01,2023,1,610080,CC-10-1035,,S,2786.45,EUR,2786.45,EUR,2786.45,EUR,false,,USR-C621FB,false,
110,NS10,1000000068,1,KR,2023-01-11,2023-01-11,2023-01-11,2023,1,650030,CC-10-1043,,S,222.76,EUR,222.76,EUR,222.76,EUR,false,,USR-BC5A44,false,
111,NS10,1000000068,2,KR,2023-01-11,2023-01-11,2023-01-11,2023,1,650180,CC-10-1008,PRG-HELIOS,S,1142.89,EUR,1142.89,EUR,1142.89,EUR,false,,USR-BC5A44,false,
112,NS10,1000000068,3,KR,2023-01-11,2023-01-11,2023-01-11,2023,1,500230,CC-10-1048,,S,4596.24,EUR,4596.24,EUR,4596.24,EUR,false,,USR-BC5A44,false,
113,NS10,1000000069,1,KR,2023-01-02,2023-01-01,2023-01-03,2023,1,610150,CC-10-1037,,S,680.23,EUR,680.23,EUR,680.23,EUR,false,,USR-16D926,false,
114,NS10,1000000070,1,KR,2023-01-23,2023-01-20,2023-01-24,2023,1,650230,CC-10-1026,PRG-HELIOS,S,151.81,EUR,151.81,EUR,151.81,EUR,false,,USR-181C01,false,
115,NS10,1000000071,1,SA,2023-01-05,2023-01-05,2023-02-03,2023,1,600200,CC-10-1037,,S,1488.9,EUR,1488.9,EUR,1488.9,EUR,false,,USR-B7AC97,false,
116,NS10,1000000071,2,SA,2023-01-05,2023-01-05,2023-02-03,2023,1,650060,CC-10-1019,,S,762.56,EUR,762.56,EUR,762.56,EUR,false,,USR-B7AC97,false,
117,NS10,1000000071,3,SA,2023-01-05,2023-01-05,2023-02-03,2023,1,650060,CC-10-1050,PRG-HELIOS,S,488.13,EUR,488.13,EUR,488.13,EUR,false,,USR-B7AC97,false,
118,NS10,1000000072,1,RE,2023-01-17,2023-01-15,2023-01-17,2023,1,500080,CC-10-1049,,S,2349.15,EUR,2349.15,EUR,2349.15,EUR,false,,USR-181C01,false,
119,NS10,1000000073,1,RV,2023-01-02,2022-12-30,2023-01-02,2023,1,400010,,,H,25400.65,EUR,25400.65,EUR,25400.65,EUR,false,,USR-F9C262,false,
120,NS10,1000000074,1,WA,2023-01-31,2023-01-31,2023-01-31,2023,1,500050,CC-10-1001,PRG-HELIOS,S,2441.58,EUR,2441.58,EUR,2441.58,EUR,false,,USR-6EDA16,false,
121,NS10,1000000075,1,RE,2023-01-17,2023-01-14,2023-01-19,2023,1,500190,CC-10-1037,,S,1336.26,EUR,1336.26,EUR,1336.26,EUR,false,,USR-5EEC9E,false,
122,NS10,1000000076,1,WA,2023-01-25,2023-01-25,2023-01-25,2023,1,500130,CC-10-1043,,S,2380.96,EUR,2380.96,EUR,2380.96,EUR,false,,USR-ED4078,false,
123,NS10,1000000076,2,WA,2023-01-25,2023-01-25,2023-01-25,2023,1,500110,CC-10-1042,,S,1548.26,EUR,1548.26,EUR,1548.26,EUR,false,,USR-ED4078,false,
124,NS10,1000000076,3,WA,2023-01-25,2023-01-25,2023-01-25,2023,1,500240,CC-10-1049,PRG-TERRA,S,1466.61,EUR,1466.61,EUR,1466.61,EUR,false,,USR-ED4078,false,
125,NS10,1000000077,1,KR,2023-01-06,2023-01-01,2023-01-06,2023,1,650020,CC-10-1044,PRG-HELIOS,S,212.05,EUR,212.05,EUR,212.05,EUR,false,,USR-C2DA0D,false,
126,NS10,1000000078,1,SB,2023-01-31,2023-01-31,2023-02-07,2023,1,600070,CC-10-1046,PRG-HELIOS,S,1293.66,EUR,1293.66,EUR,1293.66,EUR,false,,USR-C621FB,false,
127,NS10,1000000079,1,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650290,CC-10-1011,,S,1052.32,EUR,1052.32,EUR,1052.32,EUR,false,,USR-C621FB,false,
128,NS10,1000000080,1,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680060,CC-10-1030,,S,1667.99,EUR,1667.99,EUR,1667.99,EUR,false,,USR-801710,false,
129,NS10,1000000080,2,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680100,CC-10-1045,,S,1649.48,EUR,1649.48,EUR,1649.48,EUR,false,,USR-801710,false,
130,NS10,1000000080,3,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680010,CC-10-1046,,S,3139.74,EUR,3139.74,EUR,3139.74,EUR,false,,USR-801710,false,
131,NS10,1000000080,4,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680090,CC-10-1032,,S,2862.93,EUR,2862.93,EUR,2862.93,EUR,false,,USR-801710,false,
132,NS10,1000000081,1,WA,2023-01-24,2023-01-24,2023-01-24,2023,1,500120,CC-10-1028,PRG-PHAROS,S,7410.87,EUR,7410.87,EUR,7410.87,EUR,false,,USR-D2A081,false,
133,NS10,1000000082,1,KR,2023-01-02,2023-01-01,2023-01-02,2023,1,650250,CC-10-1024,PRG-KESTREL,S,2518.01,EUR,2518.01,EUR,2518.01,EUR,false,,USR-A4D458,false,
134,NS10,1000000082,2,KR,2023-01-02,2023-01-01,2023-01-02,2023,1,610100,CC-10-1044,PRG-HELIOS,S,5855.5,EUR,5855.5,EUR,5855.5,EUR,false,,USR-A4D458,false,
135,NS10,1000000082,3,KR,2023-01-02,2023-01-01,2023-01-02,2023,1,500150,CC-10-1044,,S,1131.23,EUR,1131.23,EUR,1131.23,EUR,false,,USR-A4D458,false,
136,NS10,1000000082,4,KR,2023-01-02,2023-01-01,2023-01-02,2023,1,500240,CC-10-1012,,S,1710.4,EUR,1710.4,EUR,1710.4,EUR,false,,USR-A4D458,false,
137,NS10,1000000083,1,SA,2023-01-31,2023-01-31,2023-02-02,2023,1,650030,CC-10-1007,,S,916.69,EUR,916.69,EUR,916.69,EUR,false,,USR-BC5A44,false,
138,NS10,1000000083,2,SA,2023-01-31,2023-01-31,2023-02-02,2023,1,690030,CC-10-1041,PRG-HELIOS,S,1370.16,EUR,1370.16,EUR,1370.16,EUR,false,,USR-BC5A44,false,
